route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,wheelchair_accessible,bikes_allowed
52,10_4,1582796901-10,ODYSSEUM,52,1,,
52,10_4,1582796902-10,GRAMMONT,52,0,,
52,10_4,1582796903-10,ODYSSEUM,52,1,,
52,10_4,1582796904-10,GRAMMONT,52,0,,
52,10_4,1582796905-10,ODYSSEUM,52,1,,
52,10_4,1582796906-10,GRAMMONT,52,0,,
52,10_4,1582796907-10,ODYSSEUM,52,1,,
52,10_4,1582796908-10,GRAMMONT,52,0,,
52,10_4,1582796909-10,ODYSSEUM,52,1,,
52,10_7,1582785556-10,ODYSSEUM,52,1,,
52,10_7,1582785560-10,GRAMMONT,52,0,,
52,10_7,1582785558-10,ODYSSEUM,52,1,,
52,10_7,1582785557-10,GRAMMONT,52,0,,
52,10_7,1582785559-10,ODYSSEUM,52,1,,
52,10_7,1582785561-10,GRAMMONT,52,0,,
52,10_7,1582785562-10,ODYSSEUM,52,1,,
52,10_7,1582785563-10,GRAMMONT,52,0,,
52,10_7,1582785564-10,ODYSSEUM,52,1,,
52,10_7,1582785567-10,GRAMMONT,52,0,,
52,10_7,1582785565-10,ODYSSEUM,52,1,,
52,10_7,1582785566-10,GRAMMONT,52,0,,
52,10_7,1582785569-10,ODYSSEUM,52,1,,
52,10_7,1582785568-10,GRAMMONT,52,0,,
52,10_7,1582785571-10,ODYSSEUM,52,1,,
52,10_7,1582785572-10,GRAMMONT,52,0,,
52,10_7,1582785570-10,ODYSSEUM,52,1,,
52,10_7,1582785574-10,GRAMMONT,52,0,,
52,10_7,1582785573-10,ODYSSEUM,52,1,,
52,10_7,1582785575-10,GRAMMONT,52,0,,
52,10_7,1582785576-10,ODYSSEUM,52,1,,
52,10_7,1582785578-10,GRAMMONT,52,0,,
52,10_7,1582785577-10,ODYSSEUM,52,1,,
52,10_7,1582785579-10,GRAMMONT,52,0,,
52,10_7,1582785580-10,ODYSSEUM,52,1,,
52,10_7,1582785581-10,GRAMMONT,52,0,,
52,10_7,1582785582-10,ODYSSEUM,52,1,,
52,10_7,1582785583-10,GRAMMONT,52,0,,
52,10_7,1582785584-10,ODYSSEUM,52,1,,
52,10_7,1582785585-10,GRAMMONT,52,0,,
52,10_7,1582785586-10,ODYSSEUM,52,1,,
52,10_7,1582785587-10,GRAMMONT,52,0,,
52,10_7,1582785588-10,ODYSSEUM,52,1,,
52,10_7,1582785589-10,GRAMMONT,52,0,,
52,10_7,1582785590-10,ODYSSEUM,52,1,,
52,10_7,1582785591-10,GRAMMONT,52,0,,
52,10_7,1582785592-10,ODYSSEUM,52,1,,
52,10_7,1582785593-10,GRAMMONT,52,0,,
52,10_7,1582785594-10,ODYSSEUM,52,1,,
52,10_7,1582785595-10,GRAMMONT,52,0,,
52,10_7,1582785596-10,ODYSSEUM,52,1,,
52,10_7,1582785597-10,GRAMMONT,52,0,,
52,10_7,1582785598-10,ODYSSEUM,52,1,,
52,10_7,1582785599-10,GRAMMONT,52,0,,
52,10_7,1582785600-10,ODYSSEUM,52,1,,
52,10_7,1582785601-10,GRAMMONT,52,0,,
52,10_7,1582785602-10,ODYSSEUM,52,1,,
52,10_7,1582785603-10,GRAMMONT,52,0,,
52,10_7,1582785604-10,ODYSSEUM,52,1,,
52,10_7,1582785605-10,GRAMMONT,52,0,,
52,10_7,1582785606-10,ODYSSEUM,52,1,,
