stop_id,stop_code,stop_name,tts_stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
2412,61204,Pinville,"Pin ville",43.613953,3.906079,,,1
2413,61105,Alfred Nobel,"Alfred, Nobel",43.616043,3.910133,,,1
2414,61205,Alfred Nobel,"Alfred, Nobel",43.615955,3.90992,,,1
2415,61106,Eurêka,"euré ka",43.619503,3.914448,,,1
2416,61206,Eurêka,"euré ka",43.619392,3.914247,,,1
2417,61107,Verchant,"ver chant",43.623142,3.918422,,,1
2418,61207,Verchant,"ver chant",43.623035,3.918221,,,1
2419,61108,Notre-Dame de Sablassou,"notre dame, de sabla sou",43.633705,3.922081,,,1
2420,61208,Notre-Dame de Sablassou,"notre dame, de sabla sou",43.633263,3.922255,,,1
2422,42138,Pompignane,"Pompignane",43.612728,3.894997,,,1
2423,14120,Jules Isaac,"Jules, Isaac",43.622112,3.898198,,,1
2424,14220,Jules Isaac,"Jules, Isaac",43.622162,3.898113,,,1
2425,14121,Becquerel,"Becquerel",43.618412,3.914059,,,1
2427,14221,Pont Juvénal - Platon,"pont j'uvénal platon",43.606529,3.898613,,,1
2428,14222,Louis Lépine,"Louis Lé-pine",43.615746,3.915718,,,1
2429,14223,Walhalla,"VOI LA LA",43.61808,3.9165,,,1
2431,26215,Dévézou,"Dévézou",43.674019,3.857952,,,1
2432,16137,Place de l'Europe,"Place de l'Europe",43.607403,3.894035,,,1
2434,30112,Rolland Gamet,"Roland Gamé",43.649075,3.932747,,,1
2435,30113,Rolland Gamet,"Roland Gamé",43.649029,3.932882,,,1
2436,30212,Rolland Gamet,"Roland Gamé",43.649075,3.932747,,,1
2437,30213,Rolland Gamet,"Roland Gamé",43.649029,3.932882,,,1
2438,33120,Stedo,"Steudo",43.560261,3.795604,,,1
2439,33219,Stedo,"Steudo",43.560188,3.794972,,,1
2440,32157,Saint-Exupéry,"saint exupéri",43.562729,3.841232,,,1
2441,32257,Saint-Exupéry,"saint exupéri",43.562523,3.841647,,,1
2443,11236,Parc Montcalm,"parc moncalm",43.599979,3.859877,,,1
2446,41169,Gare Sud de France,"gare montpellier sud de france",43.597027,3.922102,,,1
2447,41269,Gare Sud de France,"gare montpellier sud de france",43.597054,3.92214,,,1
2451,50006,Gare Montpellier Sud de France,"gare montpeullier, sud de france",43.596024,3.921716,,,1
2452,91119,Halles de la Paillade,"HALLE DE LA PAILLADE",43.627022,3.817049,,,1
2453,91220,Halles de la Paillade,"HALLE DE LA PAILLADE",43.627075,3.816914,,,1
2454,91120,Stade de la Mosson,"stade de la mosson",43.620472,3.816804,,,1
2455,91221,Stade de la Mosson,"stade de la mosson",43.620262,3.816886,,,1
2456,91222,Hauts de Massane,"HAUTS DE MASSANE",43.637009,3.822395,,,1
2458,45101,Clapiers,"Clapiers",43.653698,3.872751,,,1
